Age,Total Salary (IDR),Total Spending (IDR),Frequency (Yearly),Membership Status
45,126114772,78097008,49,Silver
19,78376747,50266403,26,Silver
54,128323679,19428143,26,Silver
51,98861188,82792918,59,Gold
40,141919761,62615950,51,Platinum
69,191896852,61129282,31,Platinum
62,99294827,60703199,26,Platinum
46,138215346,81278759,46,Gold
52,72900904,36873445,17,Platinum
28,157211512,21624533,41,Silver
65,147534743,86588685,19,Platinum
50,61337879,38808016,42,Gold
68,55065719,20304562,59,Gold
28,186361509,83317487,58,Platinum
26,173324459,14007374,43,Gold
31,195396215,55523385,56,Platinum
26,154804338,36343926,26,Platinum
56,85073978,35627657,29,Silver
65,135941488,22461289,24,Gold
20,137638858,37782494,35,Silver
46,170746334,45309173,51,Gold
36,72744785,83569148,25,Platinum
53,132765846,89239368,39,Gold
49,72939259,65426381,22,Platinum
24,170644181,31701522,17,Gold
45,174442926,61283358,36,Silver
61,51717222,47861859,12,Silver
35,105162316,71547956,36,Platinum
22,92616000,38205030,13,Silver
40,52095383,42593753,43,Platinum
39,75956067,74654343,24,Platinum
43,106570915,67251991,44,Platinum
59,94225409,91021138,43,Gold
29,83469979,28074543,35,Platinum
57,134753561,57222429,38,Silver
36,188613782,64343225,15,Gold
64,126243875,19224277,35,Silver
18,156241382,74812744,34,Platinum
20,96070309,69586553,40,Platinum
44,113894877,43865726,45,Silver
35,126328756,92663727,32,Gold
67,182906984,11613955,41,Silver
47,170042533,23872512,37,Platinum
19,194358108,15034971,31,Gold
22,97714803,75201349,27,Platinum
46,162344106,38104750,14,Platinum
50,197843942,99164532,48,Silver
59,55963523,72670026,51,Platinum
37,158358148,20257668,55,Silver
47,169187171,92936497,36,Gold
59,112048378,98429591,34,Platinum
22,137733932,25635118,55,Platinum
67,122049816,63400337,12,Gold
38,197907338,46073811,44,Silver
32,191264033,72818252,26,Platinum
37,108652090,39981956,28,Gold
25,53156390,64579485,45,Platinum
66,129225770,58913920,28,Silver
48,132187043,32930517,52,Silver
29,187129894,92572113,55,Silver
38,94023484,44723396,15,Silver
47,76806159,49612446,24,Gold
44,91067749,35960887,15,Platinum
61,183776645,51149400,18,Gold
43,174624183,32614427,57,Silver
50,121537799,47683727,20,Silver
43,115095517,81076788,34,Silver
43,172808090,40852433,44,Silver
53,73237574,30961953,44,Platinum
57,132713498,64639028,31,Silver
18,82373165,64288748,15,Platinum
32,54390741,60181268,12,Silver
67,114387158,26268510,53,Platinum
18,196288562,30059394,45,Platinum
28,146505964,23434640,38,Silver
19,73829926,99797820,32,Gold
18,169833944,45149177,35,Gold
48,113352073,73771225,26,Gold
61,58242909,48338309,46,Gold
33,143025249,48856859,36,Gold
39,133797485,41126215,20,Silver
59,57681356,84456829,28,Silver
35,135267253,76405817,32,Silver
64,131735269,74970412,24,Silver
34,136913960,32643090,14,Silver
47,153049864,54511845,15,Silver
27,71723084,83276188,15,Platinum
52,150811684,59266326,54,Platinum
38,158449933,21356782,39,Silver
33,138012644,91108895,18,Silver
23,122186695,73235849,37,Platinum
20,136812839,83575002,22,Platinum
58,86656386,78477104,35,Silver
60,69939319,15771712,54,Platinum
38,153240993,82311526,21,Gold
30,91230897,21737018,48,Gold
35,170488237,53877102,24,Gold
41,80973266,15168394,55,Platinum
44,139596413,63895381,53,Silver
21,163449778,73174271,50,Silver
39,154240437,92971909,30,Silver
41,111164917,62468802,30,Platinum
57,140474927,18644157,23,Platinum
62,56498450,73397403,33,Gold
27,80802354,94261074,58,Platinum
19,60024454,62034523,48,Gold
57,133689116,50491724,41,Gold
23,135221444,30926501,57,Silver
65,92776761,34149034,23,Platinum
35,150543367,41755668,40,Silver
34,58820939,28555866,32,Silver
55,61252265,84516157,22,Platinum
62,194332812,21814957,48,Platinum
40,90143513,46353477,59,Gold
63,119432593,18292005,29,Gold
47,159860914,19557706,55,Gold
38,88679027,71548776,38,Gold
27,104667620,83692880,48,Silver
60,150629506,14668710,59,Silver
30,90728057,78758342,23,Platinum
29,172964223,74215197,34,Gold
26,168611628,43234324,45,Gold
21,157646101,17883679,49,Gold
56,169059267,81705082,34,Silver
41,163160946,99330424,36,Platinum
51,64726965,22002333,15,Silver
56,186680936,46817415,41,Platinum
58,73664022,72746898,41,Platinum
22,121113032,89729131,24,Silver
32,186199636,13576758,53,Silver
67,116563816,13832733,25,Platinum
21,78830701,44294606,58,Silver
68,105330358,10203811,19,Silver
69,112543732,95515574,35,Platinum
56,159656783,98259627,29,Platinum
25,70175934,87091994,46,Gold
66,150944055,58751692,36,Silver
62,63538302,82871501,28,Platinum
41,112180926,59522276,43,Silver
45,97160748,38108207,35,Silver
60,71437512,72246429,18,Platinum
44,179962830,17045158,24,Gold
18,144260390,49111692,38,Platinum
51,125642080,66094863,59,Platinum
34,92079812,13795627,16,Silver
54,129184665,44806214,47,Gold
55,66141339,95952879,37,Platinum
43,196844455,69166966,53,Silver
